station,analysis,season,n,train_n,test_n,slope,intercept,r_squared,test_fit_r_squared,test_nse,test_start,test_end
X.173A,daily_2day_rain_vs_q_lead2,all_months,4896,3916,980,1.262870,9.202564,0.458589,0.469118,0.421829,2021-07-26,2024-03-31
X.173A,event_rain_vs_direct_runoff_depth,all_months,198,158,40,0.268385,-8.791089,0.745021,0.892482,0.845536,2022-02-23,2023-12-19
X.173A,daily_2day_rain_vs_q_lead2,sep_to_jan,2055,1644,411,1.372996,15.806808,0.510338,0.544561,0.482524,2021-10-19,2024-01-31
X.173A,event_rain_vs_direct_runoff_depth,sep_to_jan,82,65,17,0.278892,-8.578022,0.735111,0.894480,0.820115,2021-10-03,2023-12-19
X.173A,daily_2day_rain_vs_q_lead2,oct_to_jan,1652,1321,331,1.406725,17.894897,0.529772,0.587839,0.523027,2021-11-08,2024-01-31
X.173A,event_rain_vs_direct_runoff_depth,oct_to_jan,65,52,13,0.280118,-8.781302,0.703208,0.927582,0.763336,2021-11-09,2023-12-19
X.173A,daily_2day_rain_vs_q_lead2,nov_to_jan,1237,989,248,1.324650,19.852154,0.558555,0.657342,0.604155,2021-11-29,2024-01-31
X.173A,event_rain_vs_direct_runoff_depth,nov_to_jan,43,34,9,0.311616,-12.009393,0.673631,0.831566,0.722077,2021-11-09,2023-12-19
X.90,daily_2day_rain_vs_q_lead2,all_months,4896,3916,980,2.461474,11.777783,0.363092,0.341544,0.213822,2021-07-26,2024-03-31
X.90,event_rain_vs_direct_runoff_depth,all_months,197,157,40,0.271780,-9.375306,0.481916,0.651789,0.503105,2022-02-23,2023-12-19
X.90,daily_2day_rain_vs_q_lead2,sep_to_jan,2055,1644,411,3.099824,11.116569,0.432284,0.416804,0.248018,2021-10-19,2024-01-31
X.90,event_rain_vs_direct_runoff_depth,sep_to_jan,88,70,18,0.318056,-11.645658,0.494104,0.627571,0.094054,2021-11-09,2023-12-19
X.90,daily_2day_rain_vs_q_lead2,oct_to_jan,1652,1321,331,3.358941,12.498048,0.462746,0.475459,0.283702,2021-11-08,2024-01-31
X.90,event_rain_vs_direct_runoff_depth,oct_to_jan,68,54,14,0.369775,-15.071759,0.571960,0.647600,-0.920872,2021-12-13,2023-12-19
X.90,daily_2day_rain_vs_q_lead2,nov_to_jan,1237,989,248,3.216390,19.571555,0.534506,0.519566,0.430337,2021-11-29,2024-01-31
X.90,event_rain_vs_direct_runoff_depth,nov_to_jan,45,36,9,0.517669,-27.185912,0.703734,0.658305,0.250257,2021-12-13,2023-12-19
